,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2017-02-12,0.9783950617283951,0.7569892473118279,0.7132216014897579,0.5333333333333333
2017-02-13,0.9873817034700315,0.7619047619047619,0.708411214953271,0.5383333333333333
2017-02-14,0.963076923076923,0.759656652360515,0.7063197026022305,0.5406301824212272
2017-02-15,0.9697885196374623,0.7564102564102564,0.70817843866171,0.5472636815920398
2017-02-16,0.9552238805970149,0.7489361702127659,0.7092592592592593,0.5480132450331126
2017-02-17,0.972972972972973,0.7351694915254238,0.7148148148148148,0.5480132450331126
2017-02-18,0.972972972972973,0.7303609341825902,0.7156133828996283,0.547107438016529
2017-02-19,0.9878048780487805,0.721868365180467,0.7169459962756052,0.5487603305785124
2017-02-20,0.9938271604938271,0.7212765957446808,0.7158878504672898,0.5520661157024793
2017-02-21,0.9787234042553191,0.725531914893617,0.7158878504672898,0.5603305785123966
2017-02-22,0.9613095238095238,0.7303609341825902,0.7126865671641791,0.5627062706270627
2017-02-23,0.9732142857142857,0.7351694915254238,0.7132216014897579,0.5667215815485996
2017-02-24,0.9704142011834319,0.7372881355932204,0.7156133828996283,0.5657894736842105
2017-02-25,0.9762611275964391,0.7426160337552743,0.7217068645640075,0.5665024630541872
2017-02-26,0.96996996996997,0.7441860465116279,0.7198515769944341,0.5681444991789819
2017-02-27,0.9876160990712074,0.7441860465116279,0.7235621521335807,0.5714285714285714
2017-02-28,0.9608433734939759,0.7379454926624738,0.7214022140221402,0.5735294117647058
2017-03-01,0.9791666666666666,0.7343096234309623,0.7200736648250461,0.5742251223491027
2017-03-02,0.9761904761904762,0.7405857740585774,0.7237569060773481,0.5791190864600326
2017-03-03,0.9701492537313433,0.7426778242677824,0.7174311926605504,0.5739837398373984
2017-03-04,0.9730538922155688,0.7442348008385744,0.7142857142857143,0.573051948051948
2017-03-05,0.9939393939393939,0.7415966386554622,0.7137614678899082,0.5714285714285714
2017-03-06,0.9878048780487805,0.7436440677966102,0.7113970588235294,0.5795454545454546
2017-03-07,0.9671641791044776,0.7441860465116279,0.712707182320442,0.5827922077922078
2017-03-08,0.9764705882352941,0.7489451476793249,0.712707182320442,0.5883306320907618
2017-03-09,0.9622093023255814,0.7457983193277311,0.706959706959707,0.6025848142164781
2017-03-10,0.9852507374631269,0.751578947368421,0.706959706959707,0.6025848142164781
2017-03-11,0.9852507374631269,0.7478991596638656,0.7074954296160878,0.6016129032258064
2017-03-12,0.9822485207100592,0.75,0.7106227106227107,0.6064516129032258
2017-03-13,0.9909638554216867,0.7489451476793249,0.7051282051282052,0.6096774193548387
2017-03-14,0.9733727810650887,0.7478991596638656,0.7056672760511883,0.6119162640901772
2017-03-15,0.9767441860465116,0.7426778242677824,0.7030965391621129,0.6237942122186495
2017-03-16,0.9597701149425287,0.7354166666666667,0.6992753623188406,0.6272
2017-03-17,0.968299711815562,0.7349896480331263,0.6972972972972973,0.6242038216560509
2017-03-18,0.9710982658959537,0.7349896480331263,0.7034358047016275,0.6242038216560509
2017-03-19,0.9852507374631269,0.7422037422037422,0.701627486437613,0.6289808917197452
2017-03-20,0.9910179640718563,0.7416666666666667,0.6998191681735986,0.6305732484076433
2017-03-21,0.9566473988439307,0.7412008281573499,0.6972972972972973,0.6285714285714286
2017-03-22,0.9684813753581661,0.7396694214876033,0.6954954954954955,0.6275752773375595
2017-03-23,0.9826086956521739,0.742798353909465,0.7027027027027027,0.6323296354992076
2017-03-24,0.9542857142857143,0.7443762781186094,0.6989247311827957,0.6293375394321766
2017-03-25,0.9622093023255814,0.7382413087934561,0.7030411449016101,0.6283464566929133
2017-03-26,0.9850299401197605,0.7423312883435583,0.7060931899641577,0.6299212598425197
2017-03-27,0.9908814589665653,0.7438524590163934,0.7081081081081081,0.6362204724409449
2017-03-28,0.978978978978979,0.7423312883435583,0.7068345323741008,0.6352201257861635
2017-03-29,0.9646017699115044,0.7387755102040816,0.7055655296229802,0.6367924528301887
2017-03-30,0.9589442815249267,0.7403651115618661,0.7017857142857142,0.640502354788069
2017-03-31,0.9475218658892128,0.7449392712550608,0.699288256227758,0.6384976525821596
2017-04-01,0.927536231884058,0.7434343434343434,0.7015985790408525,0.6375
2017-04-02,0.9457831325301205,0.7464503042596349,0.6980461811722913,0.640625
2017-04-03,0.9904458598726115,0.7494908350305499,0.697508896797153,0.6453125
2017-04-04,0.948170731707317,0.75,0.6962699822380106,0.6489859594383776
2017-04-05,0.9552238805970149,0.7591093117408907,0.6968085106382979,0.6552262090483619
2017-04-06,0.972972972972973,0.7515151515151515,0.6985815602836879,0.656786271450858
2017-04-07,0.9788519637462235,0.7621951219512195,0.6932624113475178,0.656786271450858
2017-04-08,0.963855421686747,0.7596741344195519,0.6884955752212389,0.6557632398753894
2017-04-09,0.9847094801223242,0.764344262295082,0.6843971631205674,0.6526479750778816
2017-04-10,0.9937888198757764,0.7690721649484537,0.6785079928952042,0.6526479750778816
2017-04-11,0.9726443768996961,0.7674897119341564,0.6797153024911032,0.6516329704510109
2017-04-12,0.9610778443113772,0.7654320987654321,0.6803571428571429,0.6547433903576982
2017-04-13,0.9698795180722891,0.7736625514403292,0.6803571428571429,0.6547433903576982
2017-04-14,0.9730538922155688,0.779835390946502,0.6857142857142857,0.6547433903576982
2017-04-15,0.9848942598187311,0.7793814432989691,0.6851520572450805,0.6547433903576982
2017-04-16,0.9754601226993865,0.7706611570247934,0.6917562724014337,0.6578538102643857
2017-04-17,0.9559748427672956,0.7665289256198347,0.6935483870967742,0.6594090202177294
