report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
3725,22896906684.0,153017060.0,0.0,412153994.0,17582467750.0,965.0,0.0,0.0,0.00668287040305431,0.0,0.018000422488859892,0.7678970785292301,4.2145430966634756e-08,0.0,0.0
14155,12563671698.0,62890870.0,0.0,67705040.0,8436410852.0,373386.0,0.0,0.0,0.005005771522190567,0.0,0.0053889532954588355,0.6714924629352568,2.9719496734337543e-05,0.0,0.0
10373,71272444021.0,46528421.0,0.0,431844000.0,30994873260.0,2377751000.0,0.0,0.0,0.0006528248278716341,0.0,0.006059059794171781,0.4348787765839424,0.03336143488077117,0.0,0.0
4260,534353324398.0,6630944113.0,3079500.0,8724763392.0,286324232261.0,5699131867.0,6.065435648877814,6.318429516716669,0.012409287657132836,5.76304078105877e-06,0.01632770489793299,0.535833163541317,0.010665474708930867,1.135098327630151e-11,1.1824441297965128e-11
1014,35618459044.0,264480773.0,0.0,1360157331.0,28561370720.0,1957895342.0,0.0,0.0,0.007425385041876266,0.0,0.03818686623471773,0.8018699148303334,0.05496855828550537,0.0,0.0
6855,872542230000.0,8405341000.0,11398991000.0,19905774000.0,524246942000.0,10361481000.0,5.526048982866995,5.982872661918037,0.009633162397194231,0.013064113813723377,0.022813536486365825,0.6008270132667389,0.01187504815669495,6.333273958404277e-12,6.856828765661047e-12
4273,4228830237.0,18486563.0,0.0,50913255.0,3184347812.0,1.0,0.0,0.0,0.004371554771400487,0.0,0.012039559912936747,0.7530091381154679,2.364720132888134e-10,0.0,0.0
6527,14165184398.0,95041160.0,0.0,767264365.0,10019106675.0,4168481.0,0.0,0.0,0.006709489783515913,0.0,0.054165504905699005,0.7073050652566591,0.0002942765080127409,0.0,0.0
11341,28813339642.0,194288831.0,0.0,1846816830.0,20021321747.0,17626358.0,0.0,0.0,0.00674301672121316,0.0,0.06409589630866575,0.6948629348683953,0.0006117429711031065,0.0,0.0
3770,4656816205.0,30418822.0,0.0,16667192.0,3148466942.0,82829919.0,0.0,0.0,0.006532107057894933,0.0,0.003579095945874892,0.6760986054419555,0.017786812997057075,0.0,0.0
8198,183572274917.0,1006245722.0,3722187222.0,12484206649.0,123012777392.0,5162435226.0,10.332546655847684,11.742642377437658,0.005481468933448485,0.020276412784462915,0.06800703785277262,0.6701054254931402,0.02812208558364346,5.6285986870944545e-11,6.396740674890559e-11
10394,8345965378.0,24392.0,0.0,11085120.0,7748467115.0,0.0,0.0,0.0,2.9226097755326683e-06,0.0,0.0013282010525972733,0.9284087297348479,0.0,0.0,0.0
12585,60651725377.0,450764211.0,0.0,1443925305.0,44240191753.0,422702513.0,0.0,0.0,0.007432009694664617,0.0,0.02380682983088816,0.7294135736124748,0.0069693402845930385,0.0,0.0
11300,4014501906.0,20876142.0,0.0,95000000.0,3418260986.0,15.0,0.0,0.0,0.005200182361054283,0.0,0.023664205977338003,0.8514782321789736,3.736453575369158e-09,0.0,0.0
8664,32500718257.0,329393710.0,0.0,2576863268.0,19491165513.0,4947210.0,0.0,0.0,0.010134967091967428,0.0,0.07928634830847148,0.5997149158019607,0.0001522184820926064,0.0,0.0
12228,6459766678.0,33304310.0,0.0,174660000.0,3822642643.0,0.0,0.0,0.0,0.005155652155893547,0.0,0.027038128264731114,0.591761720437792,0.0,0.0,0.0
13307,6142119964.0,80450347.0,0.0,115677077.0,5239361772.0,395700.0,0.0,0.0,0.013098139969836643,0.0,0.01883341218960275,0.8530217258387629,6.442401032856154e-05,0.0,0.0
7556,8457020192.0,58597043.0,0.0,311850000.0,5727268028.0,34411230.0,0.0,0.0,0.006928804906417327,0.0,0.03687469024787212,0.6772205691808285,0.004068954456624289,0.0,0.0
13225,12320405401.0,75979451.0,0.0,231335396.0,6472536372.0,21620.0,0.0,0.0,0.006166960300984336,0.0,0.01877660583970909,0.5253509248546845,1.7548123861447926e-06,0.0,0.0
7724,52203446773.0,285002271.0,0.0,876762247.0,33116642878.0,6957.0,0.0,0.0,0.005459453132267221,0.0,0.016795102645472595,0.634376557969505,1.332670624269624e-07,0.0,0.0
6793,80318426973.0,617751945.0,0.0,2076940000.0,62326759896.0,3707255.0,0.0,0.0,0.007691285403381527,0.0,0.02585882316517713,0.7759957738832695,4.615696720811325e-05,0.0,0.0
10941,6745175078.04,622386718.74,0.0,299633611.5,5741185626.54,57456553.32,0.0,0.0,0.09227139570717444,0.0,0.04442191759788494,0.8511544266999609,0.008518170789526136,0.0,0.0
431,1614861747.9,147494487.78,0.0,78197400.0,1484446441.14,17836537.32,0.0,0.0,0.09133567500239875,0.0,0.048423588026460795,0.9192405746624472,0.011045241082213388,0.0,0.0
13784,244758151.62,56908881.9,0.0,19947577.5,215593417.62,0.0,0.0,0.0,0.23251067032224548,0.0,0.08149913442298613,0.8808426448436341,0.0,0.0,0.0
2800,6290468025.949955,1597618164.967563,1901645.041705283,475000000.0000001,5064462175.625581,186028730.3058388,0.0,0.0,0.25397445124542994,0.00030230581156449107,0.07551107454015998,0.8051010123147031,0.029573114359443178,0.0,0.0
11011,20284782493.0,1346298565.0,0.0,141224090.0,15453358082.0,9060975.0,0.0,0.0,0.06636987926612421,0.0,0.006962070707375566,0.7618202505909414,0.000446688299621986,0.0,0.0
4639,42167077370.0,1330295872.0,68908000.0,713128000.0,30370957475.0,17186184.0,0.0,0.0,0.03154821142397804,0.0016341659014059385,0.0169119617597059,0.7202528458044756,0.00040757351639995816,0.0,0.0
11927,14206166038.33,786893420.22,0.0,104784085.0,12548294813.66,4944.99,0.0,0.0,0.05539097727682922,0.0,0.007375958067593996,0.8832991800745635,3.4808758300148e-07,0.0,0.0
6739,12446071147.0,1360447817.0,0.0,187200817.0,8140816094.0,327877274.0,0.0,0.0,0.10930741122494084,0.0,0.015040956683356487,0.6540872214090035,0.02634383735457205,0.0,0.0
3713,13994504193.0,1333360400.0,0.0,83400000.0,12113188923.0,0.0,0.0,0.0,0.09527743045494545,0.0,0.0059594822974661996,0.8655675653774839,0.0,0.0,0.0
2913,63573159411.0,2328732278.0,23638420000.0,1389042707.0,31808314357.0,0.0,0.0,0.0,0.03663074636490477,0.37183019090144304,0.021849515107780774,0.50034188408601,0.0,0.0,0.0
9660,86227344961.81,604263828.74,1606349437.33,3971922084.38,77379578633.22,0.0,0.0,0.0,0.007007798152751054,0.018629234589577708,0.04606336987575299,0.897390249780871,0.0,0.0,0.0
10414,16683667938.65,770774286.85,0.0,205000000.0,12150624102.86,0.0,0.0,0.0,0.04619933036813781,0.0,0.012287465847068885,0.7282945301681183,0.0,0.0,0.0
9732,14798507711.0,1549431853.0,3799827399.0,116554819.0,9612020668.0,23435673.0,0.0,0.0,0.10470189854672164,0.2567709848321746,0.007876119759924352,0.64952634790704,0.0015836510989942479,0.0,0.0
13196,2758711962.0,245224474.0,0.0,37000000.0,2263574542.0,0.0,0.0,0.0,0.08889093075966442,0.0,0.013412056245689342,0.8205186236112025,0.0,0.0,0.0
11617,2619031036.0,332748707.0,0.0,180694000.0,2287794911.0,0.0,0.0,0.0,0.12705031075469853,0.0,0.0689926913871058,0.8735272242111758,0.0,0.0,0.0
